"Дата","Месяц","Гос. облигации (ОФЗ) Первичный рынок","Корпоративные Первичный рынок","Гос. облигации (ОФЗ) Вторичный рынок","Корпоративные Вторичный рынок","Ставка","Структурный профицит/дефицит","Доли нерезидентов","Cbonds-CBI RU BBB/ruAA- YTM eff","Cbonds-CBI RU BB/ruBBB YTM eff","Cbonds-CBI RU B/ruB- YTM eff","Cbonds-CBI RU High Yield YTM eff","Cbonds-GBI RU YTM eff"
"2017","2","123114500054.11","134569616093.50","317509796939.01","259106611207.04","10.0","-227","28.10","9.47","10.13","11.74","","8.41"
"2017","3","152344192983.67","120459507000.00","584288970257.30","450692991568.44","10.0","-106","27.50","9.43","9.88","11.66","","8.09"
"2017","4","161167723374.21","190472185000.00","601126046014.02","351358254810.46","9.8","-199","30.10","9.09","9.56","11.37","","7.81"
"2017","5","163042575750.25","305699373944.40","390803024445.49","314715374664.72","9.2","-279","30.40","8.73","9.62","13.33","","7.87"
"2017","6","139099796468.72","225999049000.00","672477852041.67","344556999347.63","9.0","-232","30.70","8.71","9.56","10.93","","7.90"
"2017","7","135356520879.27","39950052000.00","489938370274.85","322773391902.59","9.0","-38","30.40","8.63","9.31","11.47","","7.95"
"2017","8","192660493355.41","139895990000.00","592511793808.74","442407951035.61","9.0","-155","30.20","8.50","9.54","11.52","","7.80"
"2017","9","148948547539.99","76400171000.00","664966339428.18","307746429657.60","9.0","-798","31.60","8.38","9.37","11.84","","7.66"
"2017","10","122502773072.09","182823098000.00","682733855861.66","310692737977.21","8.5","-1241","33.20","7.91","8.64","10.62","","7.59"
"2017","11","114500144702.69","103689184000.00","564096264222.52","264622153054.37","8.2","-1453","32.70","8.04","8.81","10.38","","7.55"
"2017","12","142626860198.60","271320880724.00","588692683310.16","368211008841.39","8.2","-2051","32.10","7.77","8.44","9.83","","7.39"
"2018","1","149285972275.59","20542980000.00","514150923860.59","260060394031.14","7.8","-2822","33.10","7.64","8.07","9.72","12.60","7.15"
"2018","2","177760810085.68","229070000000.00","704905196255.63","319240296385.71","7.8","-2685","33.90","7.20","7.70","9.44","12.66","6.91"
"2018","3","141846747894.42","200166782000.00","609881476249.08","414332135311.80","7.5","-2941","34.20","7.17","7.46","8.95","11.90","6.87"
